Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500,R=3000
137,3957,16751,26276,170984,266461,266009,135161
138,7475,13420,96981,111721,194598,305499,316746
139,4877,28307,51627,162736,245250,265104,527517
140,10220,17190,63886,84368,645703,372552,266200
141,3856,15103,88886,45642,314317,253262,484695
142,4644,18630,124079,144266,72632,305570,288530
143,5918,16808,104331,101313,121188,294749,451457
144,19008,13996,89320,230746,195161,203760,629854
145,5018,20907,57689,122214,117830,512970,326857
146,9098,18422,71608,58017,135541,221097,330939
147,6120,11605,33670,199822,387780,263042,450081
148,4041,11095,58696,172402,289583,223218,192692
149,3723,38962,35617,120597,337375,274093,378119
150,6754,14982,51714,147604,209376,199580,778632
151,15152,20653,58897,151968,220894,164608,390031
152,7117,16647,80266,153743,94844,322050,372695
153,6633,24066,47896,59225,137242,145547,453523
154,6786,15527,45783,140961,259368,372138,239991
155,14963,15496,23401,168089,153972,278946,224927
156,5523,35445,48198,176251,123724,436448,237758
157,9645,11762,90132,162801,357565,206058,299436
158,7444,20060,27495,145996,128184,202387,404414
159,7437,28591,88021,152254,85933,211921,233824
160,3949,21910,68984,143388,275143,358367,330738
161,8061,20743,183755,125766,268455,191951,209210
162,5341,27800,59837,249843,157534,160774,450492
163,6096,23149,60108,183467,216782,342441,566200
164,6168,17482,47973,182375,185192,243090,155290
165,7871,32189,60018,162591,189892,422914,615222
166,10538,13476,45875,277825,110899,306819,344773
167,4975,14070,32914,50797,94594,151537,279516
168,8259,9760,55193,92037,257924,578211,390922
169,9485,9980,57357,49174,135844,412071,390012
170,4844,39434,37333,274057,160642,169484,554719
171,6677,49874,175930,268164,357862,274817,448424
172,5022,14578,43248,185327,243804,288267,187880
173,7533,11872,40606,71554,412701,130716,188300
174,9277,25078,65865,111666,148684,319209,257078
175,5252,14536,58314,89710,109046,379913,309563
176,11292,12603,61564,93530,179344,517698,359537
177,5058,37201,59148,120449,149102,216094,139997
178,3135,32724,55490,104502,110485,119465,631414
179,13643,12419,54474,102556,175073,259596,457857
180,5937,27347,106017,126151,113329,182000,262997
181,8568,17709,72194,81941,223411,256670,512221
182,13690,19952,31714,163536,91114,189006,528237
183,4412,14845,60559,99229,176609,186967,314997
184,6613,26944,40735,139293,166964,345012,224318
185,9504,20945,29544,78285,183393,214040,351787
186,4093,14669,34974,132043,287672,234450,313726
187,3594,13022,58154,119863,198169,251296,180594
188,6733,16848,52238,70066,147447,606825,464469
189,3968,13150,36809,98648,114761,296359,264707
190,8850,13203,65047,161985,115231,140974,215028
191,11558,26546,41832,112714,105229,373566,324331
192,3327,18852,51045,69510,445140,279338,440405
193,4182,14948,101979,226902,135263,156961,637388
194,15280,26897,53020,160424,81680,350576,331763
195,4284,45916,62510,174027,114277,215948,368678
196,11600,11097,80533,97341,131637,209456,510690
197,3671,22221,83007,102194,479758,350093,247689
198,6101,21790,88584,100722,593527,277488,161436
199,4576,29815,62906,295708,247269,364745,274855
200,7819,24177,40456,128958,297451,286836,414331
201,8826,10239,120363,89433,201302,231739,310961
202,7357,25606,32554,168252,155418,132412,261732
203,3290,15200,70560,79843,105785,179300,442518
204,16832,34043,60454,81833,140080,160476,370670
205,9834,17390,73366,124037,221655,269385,405758
206,5056,15343,68935,145885,128502,244956,255978
207,6725,10892,36140,163171,330369,350079,215309
208,5847,19685,73669,59298,107264,206396,165584
209,5279,22714,97843,75612,145942,170938,411105
210,6727,12047,42459,235408,201008,496625,202480
211,4721,16970,82703,301877,353054,198903,473679
212,5116,49080,74562,98971,184649,237576,440696
213,4369,14935,125051,72953,144679,160637,217617
214,4814,14587,151631,198388,188487,152373,288020
215,3044,15041,52678,82945,203129,269119,320536
216,10858,12936,48844,123616,203707,259379,214893
217,7855,43855,55709,125054,172163,221551,180456
218,4084,8082,23449,119712,181920,218319,246544
219,3765,17798,48098,64031,187503,298414,664673
220,3687,21319,28655,67756,150455,517946,277780
221,4192,13071,42155,111797,126220,505997,241271
222,8106,9582,74014,105032,92613,730460,319527
223,3830,26443,40301,64686,126064,198199,513127
224,2849,25245,31846,100044,70018,197081,385968
225,3352,14439,49271,131865,304146,340175,442940
226,4623,53916,60389,113906,167648,109958,600086
227,10920,11256,66099,78312,208699,247358,235809
228,9612,15783,37713,57713,187409,316725,453060
229,8556,13331,35855,165450,238989,209376,360430
230,4036,22649,56014,160216,144722,619346,206544
231,18879,14038,35211,83057,406701,240414,751067
232,4053,21033,31322,309992,170918,262939,417775
233,5935,13420,66383,220576,205046,145444,248820
234,3448,29046,77280,154888,490825,397926,618932
235,6000,26229,58367,93145,110090,443638,371491
236,3195,33256,94033,104534,214534,261308,814910
237,6224,20197,87650,183157,252731,447631,137064
238,6696,12854,45381,168875,280908,153988,415418
239,6668,27607,142212,200674,215370,212460,364406
240,6700,16776,51676,124461,165508,119721,346622
241,5406,21505,72000,95040,148456,389917,285308
242,7870,20751,90143,99629,155605,140740,295333
243,7393,9544,48135,179692,162490,205123,313696
244,4730,42551,124803,139493,182758,253626,405093
245,4531,19101,64574,154092,313506,258993,462741
246,10705,31655,91257,159870,118029,229273,320166
247,9948,10953,42454,131798,293730,280879,262053
248,5006,11009,32269,117866,170628,200525,286454
249,6821,23058,36048,80344,151346,271611,325669
250,5014,27878,80483,142163,149955,141183,408713
251,8973,15362,118234,140507,239733,624150,278594
252,4410,44894,65225,96740,285355,262165,330506
253,14128,9240,68025,174323,192536,209120,326872
254,20156,23420,104839,233223,152664,222020,456013
255,6013,23781,57456,106138,80623,556727,192793
256,5111,12730,72539,140756,128396,416912,185267
257,5716,13500,74295,48954,371053,157854,283817
258,4295,13231,111132,183561,104689,229270,725723
259,6561,19641,53246,115037,214861,281246,532952
260,16685,27470,42662,176131,122198,221780,231888
261,6290,35951,36962,104694,253014,210063,552009
262,5971,15303,78354,164322,167138,166753,343254
263,4448,20950,72618,133702,149215,187072,1038842
264,3888,15115,31731,160457,143450,211558,577022
265,6848,16704,128840,136439,117412,206072,262242
266,4626,15358,41174,159468,200544,305230,390569
267,7514,21924,32711,96083,111105,375202,418567
268,5876,17539,37589,66085,268904,219970,343096
269,4580,11444,116160,136253,164247,185871,348074
270,4250,15479,66304,296258,192293,142031,972332
271,8165,33272,103183,38794,317774,160867,179286
272,3065,20301,66521,121946,149438,189528,440718
273,3621,16579,59463,111329,161689,906568,566348
274,4628,15959,64071,65176,165790,215058,294420
275,5681,21652,46428,99955,180421,191914,344747
276,6070,56983,114528,94256,200024,349456,364871
277,10278,34920,58261,133565,387775,194341,271988
278,8154,12785,35616,116051,138375,210882,357020
279,7722,11682,68849,113986,338302,288514,443139
