Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500,R=3000
0,7989,31141,57334,67490,109524,213497,599771
1,6724,39505,66142,155320,150491,144627,254604
2,5470,29435,62674,181537,145993,298391,340062
3,3669,14048,51041,152045,413233,250988,976218
4,5124,18782,66138,81415,173518,247327,422619
5,6398,10651,64120,79115,255685,320652,315342
6,4382,29705,78994,74898,335479,218239,454565
7,6900,18332,119567,83835,221811,349158,395069
8,7264,6997,42353,88984,253606,310843,546190
9,3489,19577,43306,110583,237624,324617,337425
10,9957,13143,45245,49737,139620,356694,313326
11,10144,10404,49162,162138,222614,190447,335194
12,8013,8731,64345,243737,211294,218925,297568
13,6266,19459,45334,102029,153890,109717,371308
14,11842,16457,128317,87747,314229,233593,225410
15,13325,13734,42703,126692,114556,262159,532860
16,3925,21075,58289,105389,176915,209672,342237
17,5271,19139,61127,152378,373781,601357,256256
18,8220,40828,55058,199685,241043,410643,676648
19,4659,25570,49383,96615,224928,234471,384477
20,4512,24964,65511,83396,235137,562874,986967
21,3990,12783,101597,108650,131663,366400,244330
22,5589,8452,59771,142901,632845,412794,194037
23,8747,46445,61317,111153,230778,258509,386558
24,4323,16723,43728,185210,204645,144030,456786
25,13278,20651,34566,103393,130267,391708,724453
26,5663,13340,29326,74975,156904,572651,478851
27,13727,42029,42946,217396,161758,263082,330991
28,6983,50179,49077,156231,215437,747451,473591
29,10062,18541,49054,79498,335456,174262,515385
30,4526,16522,45261,280207,246799,496990,1490206
31,5571,24599,50149,299175,318002,380221,223946
32,3813,46138,42693,125322,162488,142153,314311
33,9336,9212,35424,79813,217828,260051,236164
34,3154,27431,84573,130087,111539,304408,184207
35,5205,16896,38661,123187,135112,195494,224061
36,7380,9694,39785,72801,215536,225579,191163
37,12140,13876,57312,178019,118841,563021,195004
38,8276,19212,34033,75054,300638,195932,571865
39,3775,24124,130413,82044,180364,184049,339537
40,9030,13803,57158,92134,280353,135174,628743
41,5707,16964,36359,102148,95457,352782,302260
42,10883,11241,47895,182759,125658,327510,263756
43,2540,18002,48078,68558,161510,577227,418435
44,9853,10369,41622,180946,195884,202899,141311
45,6783,13504,56844,99465,213721,278486,582491
46,9666,13910,59379,62361,314996,389967,217220
47,5684,19418,72211,99630,186416,512660,458457
48,5564,16640,64028,277320,267560,435785,241842
49,5705,19730,39572,75963,115036,245792,329435
50,8373,32197,48334,94074,176864,407108,264408
51,5949,18025,100214,85363,151104,324177,325645
52,10087,36854,25978,123536,289399,360558,444563
53,9210,24738,84584,100795,380092,209635,300911
54,9967,17610,83205,82933,270053,258110,154811
55,7060,30913,88753,98797,182304,241405,398018
56,4098,31696,76315,88191,324452,170656,300726
57,4459,19150,39024,197381,381572,155772,958952
58,5632,19238,64244,76028,204823,619251,297754
59,3801,33967,101106,53545,159533,573188,335929
60,3458,38086,145398,121585,158827,139018,617629
61,5135,13597,76705,184574,150177,394659,252884
62,4486,24667,35086,81040,223906,237308,860610
63,10409,13431,38878,105381,125696,211786,269257
64,5623,16398,82798,161657,213350,529185,580317
65,4298,12365,53484,157692,404684,364672,542250
66,4252,24483,46299,104244,167995,134798,324903
67,3406,13570,71160,213847,217855,219938,372422
68,10887,15449,115064,169448,232047,398390,409209
69,10070,26657,52046,114569,225734,135206,265587
70,4583,24191,50721,132648,148055,145700,315426
71,3711,18959,62552,358871,195017,183938,425877
72,7140,24037,45620,69690,102879,230774,363940
73,7373,14852,49768,154821,196260,239488,505381
74,6083,14294,124947,86001,114264,273121,198624
75,4141,19539,31844,132105,100854,231497,213931
76,7118,24792,91910,100512,237049,323353,322619
77,11294,12748,53846,139777,131131,251221,419479
78,3875,13594,84143,108557,205172,390030,249413
79,8805,16353,61763,114322,116391,152407,186320
80,6034,30999,70887,73148,161604,454958,174059
81,3727,9823,145514,107155,167864,751278,476144
82,9109,27915,43893,77255,267022,250123,415584
83,4420,26178,53638,52913,332394,421496,407152
84,4430,28873,79346,72719,338666,208648,418946
85,9000,14992,35451,90684,190634,240725,509214
86,14537,16244,48667,117331,102775,156159,200865
87,4152,17879,75712,162314,154629,405893,377163
88,5201,20912,48591,68678,502876,650655,161273
89,13824,12516,148778,132663,117013,655798,360991
90,6733,10590,56089,119369,253799,301818,278218
91,5610,15711,52419,106134,287107,535539,334555
92,6432,38466,53831,81084,178481,190366,521847
93,4034,13402,45981,114759,155076,487581,524711
94,4162,15859,55608,87020,125486,455666,282078
95,4418,29207,61072,50824,231252,383829,923593
96,5916,36209,124013,96938,182563,362595,453144
97,4195,23217,53793,230699,204272,359093,340669
98,7455,12683,38177,87615,207663,794995,254033
99,6465,22936,35806,116836,102475,182344,423652
100,5434,8191,126865,181035,288731,275509,270481
101,5651,20861,77631,97506,227295,271489,319161
102,9289,21970,35962,96384,388304,673488,413007
103,4021,17161,76724,114193,374956,256966,475963
104,6017,15736,56736,150539,288311,682425,403750
105,5445,14055,45542,135822,177810,290735,441373
106,8416,13549,52304,77623,94417,349655,692711
107,5359,30834,40319,92750,176694,195619,359858
108,7049,21055,49683,243989,177749,234336,286095
109,5590,25705,48011,73504,255846,274312,402803
110,8889,16983,71863,111210,72177,192491,228618
111,5508,11282,51986,89836,490309,219452,324274
112,5364,11745,40916,176896,195052,366231,328280
113,4524,22085,79198,219466,122591,326821,462076
114,6779,15342,47130,87268,224789,274876,310127
115,3973,21557,145201,173860,105262,264419,273896
116,3383,9466,45924,105658,277440,225503,498639
117,7688,18646,129566,168773,513429,117012,357362
118,6276,19810,87086,139241,343309,362825,802754
119,5640,31379,51418,217644,87325,125649,359052
120,9001,21594,71653,151481,124738,181772,352684
121,7607,20989,90156,117080,145399,140526,310666
122,4564,17166,47501,115410,142395,199201,689879
123,5153,17837,31256,57949,89282,416233,270030
124,9460,14455,102275,117848,254103,315090,425757
125,11737,33525,94369,85447,111349,276210,297357
126,6775,23634,79501,270954,274539,358707,322257
127,10966,22050,36640,126051,233334,102324,225240
128,6217,26057,67271,117024,93201,163869,160516
129,5479,15539,90133,98667,178860,174656,207280
130,4437,18936,72650,204973,162561,164035,663004
131,4480,19353,57048,79949,245586,632547,435088
132,3660,15543,58909,59160,143576,156119,324704
133,5770,21457,79930,162375,116796,199865,323102
134,3642,8711,43592,131649,111162,212264,288581
135,6181,21699,54849,96755,179111,242072,181143
136,7869,28518,48811,76696,169049,188226,446531
137,4511,17005,23669,249367,365784,259684,485004
138,7235,27488,44489,72843,162101,307438,118974
139,6131,14495,61204,159411,256988,328187,264741
140,11058,22700,96998,84870,123152,260353,325633
141,13287,10290,57859,152198,497719,277462,422983
142,5260,26618,47537,109797,201236,200646,326828
143,9036,13377,50441,139449,153792,180981,433326
144,3691,25051,64067,80013,186968,186319,205379
145,10681,38551,58977,107043,117303,285740,523204
146,7208,21672,66665,104436,85449,396720,241647
147,9031,13101,100558,120920,191525,265814,473409
148,3957,37126,28065,152003,185662,463176,361453
149,19054,23901,53638,64556,250790,182785,341091
150,5248,29570,65145,186731,290765,230166,337840
151,4738,18834,29014,81319,171897,279699,458772
152,9890,18993,62689,97053,690078,358040,350209
153,8083,13695,37852,81241,140554,934594,349142
154,5366,25980,54312,102973,172484,328279,484120
155,4922,15899,42417,132622,228247,318656,264590
156,7137,23308,26714,127268,185923,287065,160650
157,5972,16361,67006,139147,207572,392106,336119
158,4319,17002,75620,95146,271825,221814,366221
159,4206,30263,74549,166450,169270,340154,210166
160,10226,15603,94408,64435,239371,530870,247210
161,3148,21693,58033,97361,243858,221342,294718
162,11435,17145,45161,219861,237846,586515,466884
163,13979,24204,90738,91890,128913,474619,382760
164,6278,10356,45148,140787,220025,288744,299283
165,13150,16251,70980,117549,460967,375403,349597
166,5071,15125,85391,101403,143326,569657,288446
167,4662,19979,147377,146948,312523,274122,186569
168,7994,38069,87594,157178,92537,305791,257785
169,11053,19936,65217,45273,178765,200239,254565
170,8094,26977,49201,173671,205430,188555,389147
171,7437,20407,39346,133114,104677,173690,172995
172,11099,10004,44751,84941,144186,301836,939564
173,5835,21813,62351,225413,179282,203496,598334
174,7419,15620,80988,116695,122224,320699,554839
175,3025,22430,86913,185870,134208,171449,363812
176,4443,20116,53011,86541,363843,89992,328070
177,4638,19975,51357,87288,160621,188031,245452
178,3484,18911,129460,118614,365951,394523,227968
179,8552,21351,86240,166880,200014,516640,224554
180,9554,17970,53644,203512,270321,238653,380597
181,4607,28688,60727,290610,159313,117917,495798
182,6757,10817,145198,99584,391459,250014,452042
183,7223,19153,33072,181215,168873,360272,388100
184,4081,25854,100116,71611,261005,238114,262684
185,5312,21108,39322,177855,186109,495787,380901
186,6198,14940,55683,140181,265274,217567,205131
187,6944,47749,86576,95845,190713,172416,278384
188,3921,68623,57262,155957,206295,125430,456117
189,3080,16825,145666,124215,304990,182248,320397
190,6349,36022,91988,157298,353079,145226,224608
191,5965,9436,42384,145698,167057,787377,175173
192,8333,17750,43926,233458,145267,206171,263159
193,5521,14109,144874,85612,357283,338371,609372
194,6667,11301,81363,114225,89437,372076,205144
195,5816,16624,45210,59147,243350,186932,383654
196,10068,27432,58005,92487,203322,192564,320463
197,4623,15778,67362,133073,123167,137563,359884
198,4897,26690,37455,213816,172786,282848,342725
199,4761,11070,48072,96507,213903,209398,272544
200,15260,13370,153135,81851,130957,198007,452997
201,5717,25915,39626,115963,143679,177254,362808
202,4486,18790,57263,91319,176003,292766,551852
203,7277,31063,148363,198115,192520,147611,539818
204,6130,30683,41857,136062,154737,183772,526768
205,3689,43585,48603,137736,332882,107670,402650
206,3798,17795,28840,157872,165913,249441,284787
207,3573,17165,88807,200400,201325,256355,287473
208,7394,13614,53118,133880,234799,362286,215879
209,7105,16789,76396,63571,237752,287510,216337
210,5933,17528,65550,191779,185430,294140,187293
211,12613,22573,32515,245682,169112,265696,298802
212,4904,12465,52899,106574,333179,161635,336114
213,6006,25813,49601,159151,143856,344455,394613
214,7461,40510,65587,120547,146936,289959,428633
215,7243,31310,72536,62782,175421,386037,251002
216,8745,26897,43589,130337,121024,255582,587832
217,4914,39405,40303,209699,120766,486725,515466
218,5149,20501,60596,43294,217944,264361,505022
219,15635,23853,53291,73126,176450,704188,532679
220,9346,22604,51995,164647,207762,239307,274417
221,7461,13378,60769,78633,75101,192153,518559
222,5426,16482,79671,60858,77444,252262,207929
223,5480,13342,86752,266179,162462,454821,299887
224,9257,14226,47943,37044,141322,339394,166895
225,3962,20668,55478,95150,147893,362493,482972
226,5752,13946,64397,127436,170384,269630,168912
227,2373,15034,51986,99567,172362,384985,383945
228,4046,18372,53973,107904,255778,146876,248801
229,7591,17015,63798,128400,132886,487567,195411
230,5759,18266,32969,262051,92384,346268,841164
231,4251,14265,74566,122610,236426,210840,557313
232,6695,34099,126829,114365,180705,253038,771966
233,5687,18727,35593,85340,83105,125018,786563
234,6466,24949,62502,114781,188682,123195,460285
235,5950,23206,82828,85598,377085,203331,363654
236,8264,18452,78217,238514,135129,173914,325830
237,5824,11011,57915,196863,228257,167815,172381
238,12590,21081,31843,130905,135060,173564,213887
239,10379,15715,56772,65876,162982,161930,361755
240,7247,28075,43582,72562,133594,166504,316660
241,3527,19768,81154,41720,346931,408584,212426
242,4007,31389,55452,73649,218560,323104,239914
243,5841,31360,118938,169511,217292,240761,594985
244,3382,11050,62770,176240,401812,327937,283500
245,5527,17592,61360,168658,146825,350931,246043
246,7816,31627,44463,98624,293194,165173,499664
247,5906,27989,55393,87575,193551,232536,155068
248,6427,10856,79840,99100,159288,186220,399947
249,6848,16297,69815,241581,200704,125847,223765
250,4614,28473,55020,136844,396683,296417,286323
251,7253,20700,50957,316572,161986,196892,372874
252,10952,17542,108229,213139,222522,323097,401119
253,9435,10007,33103,87025,267296,194366,644922
254,14782,14275,95140,217480,83999,303941,384655
255,8066,7714,75601,90579,97034,170554,342803
256,5369,37317,40028,119174,151081,247002,481292
257,2419,11914,65653,138289,189677,169199,408306
258,7866,9733,75038,116313,96008,184164,275500
259,9553,8284,65406,146986,174827,168552,178737
260,14105,21175,75024,72012,374483,269685,210458
261,7048,11610,36777,97154,152122,217080,221734
262,7428,28735,71366,205005,138070,632595,797612
263,9058,28639,67368,151837,162692,290668,295931
264,6636,41890,66777,88084,99824,233144,283195
265,4149,42986,38562,83619,112472,365894,246956
266,5007,21254,76220,160407,246457,214362,284124
267,14103,15959,45227,57241,150688,147847,220910
268,6027,10653,71997,105874,144021,306842,228111
269,10964,19677,132519,119796,83543,121619,232185
270,12364,34685,48891,60762,146334,217550,348855
271,7683,16235,54686,103967,218874,267055,326407
272,3217,40333,40121,164511,302545,194329,335286
273,3716,9490,20644,66701,113424,210262,247240
274,5914,19801,39100,136791,217004,407465,188223
275,3477,9152,31860,142847,184316,246721,347740
276,4111,17216,143161,81498,164643,888449,375908
277,6006,14696,80591,49865,146130,346259,314981
278,5190,41732,126342,294825,296555,143817,241376
279,4418,10330,25508,70312,139475,342673,293070
280,7691,14758,79323,82471,303500,196893,276462
281,4153,22891,145082,100931,544564,134926,203301
282,10194,21555,125904,185897,170204,350044,737672
283,6568,9702,74924,113800,240700,404678,895513
284,6413,19331,92473,200397,198492,146571,141602
285,7634,23079,37517,61735,522591,203232,340174
286,4364,24471,59119,88532,136197,253657,208674
287,13871,13414,70791,157082,314400,213853,288252
288,8692,16501,96414,113902,106056,121416,521161
289,5528,14757,132532,97110,255795,267312,381377
290,4530,13660,78616,192947,141580,193914,238241
291,3726,11780,48862,140023,91873,571389,370726
292,5870,36626,98410,134028,172264,272003,325929
293,3358,13927,65733,116864,172941,311916,290819
294,4436,29904,43733,77406,303508,207707,217121
295,15814,16256,35786,368957,283207,141201,370989
296,3717,38687,58867,57102,249838,138359,321659
297,5280,16501,58289,118819,144631,350354,887391
298,8072,31873,41933,183033,145610,256674,368062
299,9801,27424,77371,103280,181700,261783,348302
300,3749,16418,41146,103900,261666,314474,835221
301,5839,14636,56461,51305,113837,206371,102127
302,9117,10265,23613,60890,372786,436905,761414
303,8901,45878,94908,72913,179121,142994,413842
304,4865,16193,95574,197666,202439,263264,239473
305,3281,24701,48608,64936,150256,375352,339648
306,5689,14776,59814,99052,167956,155288,380052
307,5405,30489,47411,104410,136683,543884,388849
308,8008,37733,89418,93095,282509,306056,365815
309,5128,13136,45638,169793,194657,211481,191255
310,10623,20005,79621,60156,163909,245984,294129
311,2664,26343,56376,102956,134605,191563,249226
312,5811,43663,74564,148939,162860,212250,349985
313,6331,14206,36501,161036,191360,136493,227720
314,4825,13997,28879,41213,297342,287310,229023
315,6942,15738,38445,95199,234194,322948,307474
316,10762,10158,58045,152829,271250,121706,742308
317,7579,16750,68236,97902,278758,233303,1073463
318,13625,50225,28365,90365,163458,253220,226399
319,6013,24121,153955,99294,112275,479207,245492
320,10784,22958,102893,108053,107485,277804,949345
321,7814,24041,70419,133659,223860,191479,198827
322,10250,39130,32444,105378,138598,385342,749024
323,4760,22728,40966,99361,283847,129137,284683
324,12651,33063,79982,101371,150754,149495,274617
325,15443,15245,34374,157176,291810,334136,364655
326,5456,5663,55117,135289,237877,270639,317255
327,4160,23172,89196,71345,285897,166283,314650
328,5828,22301,71446,287958,190280,202393,319100
329,10472,13162,65983,287949,251012,189787,993006
330,7463,29090,39423,102119,528341,446334,217148
331,11949,23140,66955,39428,211057,267768,250510
332,2979,22248,52648,96138,114665,428849,815626
333,4283,22737,38105,138694,410177,341134,853833
334,8245,12876,31929,159781,256890,234299,588780
335,5495,18648,55598,122024,102044,237584,181868
336,3708,27692,42064,99804,180913,146575,452063
337,5834,21638,41451,243454,477560,278063,373203
338,7459,14003,65992,170323,277276,214960,262499
339,5636,20765,62904,80949,170297,512396,385366
340,5274,24978,50527,123958,137011,325422,220129
341,4841,30179,30444,125235,165591,475812,395468
342,8951,13583,123652,104572,119714,250661,289450
343,4674,16650,79266,131700,247086,320842,888095
344,3851,20028,49948,102254,163185,191896,197117
