Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500
691,9604,12934,50988,128663,121201,333839
692,18888,15529,78709,101785,168396,262340
693,4479,15208,58367,73921,264871,160554
694,13341,8600,30965,93060,224043,462462
695,4254,26511,51516,160113,345447,328843
696,3119,15495,69999,116190,218923,463927
697,13650,44020,42887,222426,331068,434269
698,4412,16476,32901,91800,92432,329675
699,4487,14343,104237,138376,198643,196159
700,9282,30122,53141,117679,235882,249031
701,5569,28302,58082,90528,161868,204773
702,9113,14501,37227,67519,108333,281347
703,6378,21179,60366,66014,352739,317480
704,10555,14348,46103,75132,91449,145121
705,5401,21025,47991,180808,229528,469767
706,7567,12877,70085,77170,141773,201132
707,6437,21821,118565,103645,189701,239747
708,5038,11142,42675,81168,136008,425233
709,3410,9029,59096,157543,275071,395492
710,5069,19391,77684,141572,233684,188990
711,3937,20603,92272,109116,206533,183945
712,8605,14334,35634,89914,135110,181385
713,5048,14894,58609,151303,262936,773184
714,4251,18236,65295,44094,85178,362281
715,5893,49586,39602,72683,91526,370407
716,6307,20207,57844,68017,175901,153392
717,5884,22628,111298,109805,208135,333979
718,8411,16349,47470,53469,118945,287774
719,5998,29462,77072,73420,399883,355282
720,8775,14902,38732,73107,200066,294075
721,6299,6068,57633,160200,245214,436751
722,3899,14931,41384,87528,99080,269062
723,5444,36205,104673,142775,224764,431666
724,8212,10775,65515,91674,577755,222273
725,5154,11973,98089,89089,336047,519950
726,5769,12561,65895,156505,200543,144500
727,5242,27329,56542,97998,156837,117354
728,4325,23034,65809,142676,143502,321294
729,5319,11977,46960,112389,153551,190450
730,4676,15389,67713,97640,91631,230868
731,7900,10462,65849,124188,99280,139376
732,6687,13680,40324,155124,274012,242035
733,3378,21286,64632,168699,169743,391997
734,3901,29540,42595,91305,82864,186758
735,4241,16004,64602,122542,102893,202818
736,3617,11099,41892,104822,111834,149872
737,6804,37305,78051,247459,196381,293048
738,5520,15842,52227,133387,119532,216989
739,7026,29024,80638,93343,139809,266265
740,3309,15111,39334,38261,192352,224230
741,8083,27511,29401,103118,165301,232914
742,5339,20086,36645,165988,113284,170383
743,5725,21197,52047,204200,881345,237008
744,4090,14135,88981,87321,111090,220413
745,2550,11942,49122,53940,215272,321873
746,7611,13144,52072,78422,131379,399086
747,10673,22227,36027,131799,262936,292743
748,8146,15875,95603,131606,272898,350873
749,3924,10306,53467,109882,110493,213642
750,5796,16828,35760,186248,157451,216968
751,4579,14756,89293,156197,183976,178898
752,4081,22136,40670,116430,179148,136966
753,4690,12328,44459,134339,233182,285132
754,3045,42362,85608,61193,205715,256390
755,5691,20125,49313,124500,96644,450780
756,4150,43164,100044,77609,108118,275594
757,7244,33769,39486,127813,122796,155387
758,5078,21625,33450,114344,105721,210735
759,10605,13557,39052,100506,167009,106424
760,4996,8647,44483,53648,144826,257291
761,10707,11345,73042,254550,193535,566419
762,7129,18080,70207,77325,97986,527941
763,5760,12849,43205,226908,131778,162570
764,6914,26910,34106,127198,180761,245512
765,4045,27999,75365,100482,161355,159404
766,12558,26161,48911,84368,164637,94964
767,4068,28372,44612,103990,149517,203184
768,5520,51588,39987,118042,152397,195820
769,10089,12074,170494,102783,177448,253740
770,5854,13889,60014,107369,288026,391592
771,7253,23089,89402,215562,155791,294857
772,12528,23167,55530,67059,174167,614350
773,5243,15598,54814,222192,164414,234218
774,8839,20256,93971,127781,157897,229260
775,7181,25133,91924,174560,92943,267784
776,6019,14649,52767,138297,272303,312905
777,7238,9350,64115,149895,125347,478994
778,7900,13396,59371,65680,152665,196250
779,3629,22771,123647,121540,143784,230050
780,10653,25474,64879,80407,63461,148972
781,12781,20322,64556,132898,179661,383422
782,4226,22180,67375,82712,256776,176906
783,7038,9364,73556,162212,148245,184089
784,3216,24348,50744,115519,306339,193904
785,10614,16030,73035,67034,333103,235211
786,7797,32042,41066,189582,192410,240225
787,12242,19058,34888,108363,105834,110174
788,10264,39927,64141,166845,204889,242324
789,6169,13755,45733,156626,263364,215896
790,4323,26007,66359,65740,120572,205962
791,5147,15348,50210,103652,166006,226617
792,3885,23660,48827,191969,311072,281714
793,3089,30701,68928,101692,111308,411272
794,10647,15565,111967,83574,201605,584345
795,3013,15214,54117,145408,264830,213307
796,4346,30016,89255,258320,220611,629592
797,8285,13842,34890,79679,123708,294986
798,5151,22915,43504,136575,556385,133373
799,4309,20061,76206,60689,123204,190493
800,3607,10601,31939,189108,211060,346130
801,5350,26744,32685,178747,247790,276671
802,12038,30451,40053,271340,115200,194636
803,7337,19810,49982,85500,126425,260100
804,5857,20333,58413,117774,149180,199631
805,7579,20802,41229,129989,94046,301655
806,9123,25273,89875,116021,334076,374119
807,14590,42849,42501,228461,255056,513434
808,6412,21251,64411,92932,91981,316673
809,4613,23316,63100,101491,154085,140131
810,3889,16252,72757,123080,159302,240087
811,3743,25086,56228,53878,66890,326600
812,6634,19387,85707,155443,266475,308240
813,9024,23729,92333,68582,107090,226004
814,7975,14312,105230,130393,155873,184233
815,2900,14614,32672,84159,189354,409214
816,4592,9684,60796,211978,205227,561420
817,10233,9658,47757,157267,143308,176657
818,7008,20109,45622,172699,137050,220890
819,3724,14295,72781,180058,305761,339814
820,5072,26391,62917,135806,102603,193427
821,4095,9483,62991,167708,433844,357171
822,6436,14464,70727,153223,227536,107065
823,3512,32124,48351,159059,196175,368845
824,4083,28146,26357,67609,169968,214659
825,6672,38185,49344,122527,308552,265255
826,7313,34031,38257,89803,120501,159831
827,7495,14081,68875,101774,121031,123076
828,3051,25063,31398,80236,125874,317846
829,7384,22387,76581,114560,170397,123189
830,6095,29799,63585,81253,161690,198185
831,4418,22689,52050,161082,144629,253291
832,2602,25119,127587,115706,185401,140181
833,12293,15688,51642,81812,163695,315276
834,5474,15889,31749,89104,195138,206615
835,4256,13489,30468,129659,245506,261175
836,4756,17366,58162,150642,266086,252860
837,16352,15044,106472,77155,139336,133871
838,12440,18379,81514,154855,134479,452069
839,4775,9782,119606,112000,122410,221511
840,5847,16811,36701,125028,142469,196152
841,13731,28329,35465,104606,192682,183414
842,11308,17128,79001,173136,179315,277670
843,4905,21892,65767,125069,517490,296462
844,8026,37263,65421,79248,85305,284133
845,6004,34750,35074,311658,121480,329679
846,6606,22561,62326,130702,82331,268741
847,5635,27270,29536,41846,260223,728992
848,6067,16320,41582,102820,204036,304946
849,10313,24769,39559,95026,161981,150455
850,2021,20681,49713,88853,186305,218614
851,10270,17178,63448,143614,105836,263487
852,5836,12937,50531,185199,89013,228635
853,8416,14672,126785,185676,101544,276001
854,8193,13914,55151,269319,185364,216112
855,9589,9143,98320,75823,340137,174806
856,9538,20246,56473,99396,371097,192212
857,12055,10723,101295,77152,241781,150853
858,9244,13619,30310,100225,189149,217689
859,12028,17313,71940,111091,75187,408565
860,4799,37109,46585,104595,162160,159125
861,4975,25499,35959,75245,91754,324760
862,11266,34450,50938,84744,231354,218522
863,4747,9231,61618,168583,113676,199788
864,4632,14323,63419,83030,338993,325754
865,5923,17900,43782,79913,140953,379751
866,6294,15865,66673,53166,184085,180153
867,5245,8798,47158,73827,173966,145902
868,6541,22863,38143,132526,140041,382862
869,8694,8784,126499,52800,117229,351109
870,4118,30892,127106,95527,184136,285471
871,6930,17237,64218,271918,221917,399106
872,5867,26762,32326,102343,184408,253129
873,14413,18895,73776,138883,170148,166350
874,5090,17424,46729,67619,377201,233384
875,9229,14938,69379,62829,299383,138470
876,6033,21078,56910,64130,119191,513609
877,6385,12921,28247,62082,130407,243151
878,2837,21573,93311,202504,261542,264253
879,6623,19200,34743,132783,224715,254787
880,5991,10754,101234,178862,330735,184545
881,8842,18626,95005,74350,67141,269188
882,4549,14105,54600,158411,236461,155296
883,4030,27968,52213,146406,443083,342967
884,4047,57984,46060,112920,334900,227111
885,6284,22281,37160,110382,121201,463119
886,5534,19150,47167,91611,146448,274888
887,9176,22193,92154,150736,131778,330060
888,4173,23134,66785,139761,229384,268596
889,2873,12093,116449,69464,92627,411742
890,6663,17576,35640,110541,174066,769247
891,4576,27272,71382,135121,145071,289746
892,8404,25658,117676,177837,195076,365250
893,4448,27141,56658,85269,86151,247527
894,4770,20931,112933,164651,109692,282922
895,2825,8809,41416,279042,97758,218044
896,4168,25416,108632,281868,386024,356105
897,4466,22638,59262,192268,200105,301240
898,7105,12766,43687,140239,175558,260556
899,2994,29662,100827,193701,378135,151073
900,3056,20361,28973,86387,164285,396025
901,4316,16205,57862,97475,294757,260794
902,6076,17554,40431,69374,221414,331886
903,8100,12973,80168,122065,86045,288049
904,5635,22921,143674,83141,328323,316490
905,6518,9251,29012,72592,203624,427241
906,5936,16664,61143,95075,366700,364719
907,4874,22253,90737,176712,513597,257824
908,5463,19446,77507,143427,108763,256514
909,5596,22970,36795,111653,276317,362426
910,6291,18949,92195,68836,151171,267750
911,9721,22050,44747,150503,400195,187621
912,6316,20160,71941,65775,314104,298955
913,5134,16402,70165,220531,157984,172409
914,4203,37107,78956,131236,160246,397158
915,7350,19234,24959,121357,84114,248760
916,15177,33145,35030,89037,173838,246282
917,2644,20564,39606,173295,130598,207274
918,6328,17612,46432,104686,222095,211509
919,7575,40327,34227,106282,73934,268069
920,5347,16745,38931,128607,109233,231091
921,5454,24228,46394,117381,269839,247054
922,3862,18046,70160,79466,243642,132121
923,5445,18180,55167,112259,151182,275079
924,4224,12297,108513,209928,120989,233536
925,6356,40354,40802,126964,139469,293066
926,5671,13640,64631,68870,155456,305398
927,10235,13252,62735,85656,150804,268180
928,13794,16442,58682,160894,94631,124089
929,11454,14627,102814,104309,221689,172548
930,4483,15319,57252,105143,186308,310704
931,9400,21706,130322,114817,228498,277284
932,4430,36896,77332,108288,117456,755850
933,6404,11862,45792,71081,161120,223321
934,4120,12002,76378,292427,102678,299138
935,8534,12240,67198,121144,128276,476376
936,7135,32499,58473,247997,272983,180211
937,4765,19006,71273,83617,169316,317403
938,6479,12604,83690,238960,78295,283414
939,13710,17437,67797,73326,147353,492621
940,11450,10655,46868,68145,450236,378075
941,6572,42816,75197,88218,106399,237689
942,7651,33902,55847,201175,242588,141236
943,3862,22601,55653,137836,132118,356203
944,5727,23770,94431,278153,250712,494165
945,7093,9299,34943,168109,152700,310951
946,4931,16577,43895,189821,121421,148186
947,11499,17317,87922,112753,177834,291135
948,4788,17877,74801,123838,172895,198600
949,8204,18072,39713,91611,219929,280814
950,5317,9640,35890,68595,179142,263885
951,6233,20819,43324,121721,204726,557575
952,5669,12272,109106,167609,178698,220518
953,5727,17829,63925,76931,231255,345332
954,5476,11321,97182,124420,83536,287360
955,10649,23726,108470,140100,127176,168637
956,10708,19985,56392,129673,269153,226367
957,7316,16059,37132,147287,248777,256361
958,3423,13436,99188,218611,168003,206116
959,9831,6734,46680,113839,174681,217404
960,6822,12233,71684,310059,111863,264651
961,4873,22997,54752,144992,172953,362450
962,6286,17591,112670,166777,185461,234869
963,6491,18051,159097,83182,151154,173482
964,11716,16360,46487,129259,184237,189877
965,6828,18177,43058,70229,292280,127981
966,8093,23510,74105,133028,220417,381699
967,7099,13176,58732,102963,180594,338568
968,5023,23577,78834,56428,237046,139004
969,2882,51953,55053,117346,180409,185412
970,7308,31206,50013,176801,109532,292699
971,3774,20521,48326,81483,153936,193681
972,12672,17443,67861,258123,371312,388903
973,5356,10750,51301,202931,273414,413158
974,5756,13575,73000,114257,170198,164388
975,8697,36456,91748,67061,134861,214078
976,4729,12853,104203,111452,300661,648806
977,5641,34317,51722,144871,114920,378542
978,3414,24998,84385,72911,100487,356112
979,17722,32573,41867,127397,191217,159148
980,14457,28240,55436,304885,317931,323753
981,5147,16870,37523,103711,146243,296404
982,6012,26713,40559,129963,248996,381886
983,6349,37386,46137,87948,96905,137203
984,5111,18154,57000,88984,246907,275211
985,6990,33503,64720,147997,106451,229159
986,5910,21292,111485,88598,134483,237876
987,3264,16650,70310,75421,180075,260052
988,7609,15688,35493,112745,233811,285070
989,5038,18063,34055,93887,177135,204218
990,8313,26957,115724,95401,136508,261471
991,5635,38916,57890,133006,325714,162624
992,4322,19614,36771,77349,393077,309674
993,3851,15417,55553,56735,145149,169127
994,9540,12329,38075,93471,315884,303079
995,4236,23378,53650,98399,227124,269855
996,8014,11883,81289,209713,482852,323816
997,7161,45621,34277,54444,179713,317322
998,5867,14102,82690,51820,143115,547910
999,4377,33304,51209,88134,144770,347609
1000,4811,34324,46383,99361,71818,280389
1001,8779,19522,75929,285237,194719,623976
1002,7343,24211,52171,173170,479004,750180
1003,3808,15737,46479,115134,223124,293283
1004,5025,12147,101749,144415,152008,182876
1005,7017,21389,143917,73707,305912,140661
1006,6508,20371,104206,61389,98187,590802
1007,5961,20096,71494,80873,155689,249893
1008,3910,19865,118286,171506,198906,266863
1009,6422,17872,78913,105590,188713,330800
1010,7477,27198,57337,123902,196719,418391
1011,6801,19320,283493,65977,126441,695128
1012,15052,10129,55030,61270,115781,218853
1013,6272,11344,58702,117233,321428,314158
1014,4217,54740,94106,152822,426616,199030
1015,6598,19146,126977,142630,128250,310461
1016,6883,21936,24917,64216,69033,147372
1017,10554,13361,40284,64964,186895,200846
1018,11471,41447,61589,61761,279290,159942
1019,16195,13922,105235,94605,153952,214868
1020,7796,34349,40639,102555,278888,253298
1021,4083,8700,64852,131774,400402,196364
1022,6090,19500,68341,85325,76917,318144
1023,6784,21038,66731,123521,149822,183616
1024,5432,31829,87584,235533,159590,452914
1025,5376,23920,110708,52232,130116,303929
1026,7932,28407,39171,103033,395705,230007
1027,8577,33971,48869,149866,143061,187996
1028,7560,14024,87122,193203,98005,288451
1029,10694,16008,71903,131945,134725,255202
1030,3674,13854,124337,165574,131893,446816
1031,6027,10102,111990,58882,382683,170423
1032,14770,12323,99709,198988,93311,116032
1033,5568,17230,90377,173814,478361,141520
1034,4047,18618,96320,93362,152759,249614
1035,5636,31103,47957,176034,66285,278644
1036,4194,32914,73399,145993,272750,252468
1037,4358,27562,93370,124718,202813,298870
1038,7372,15629,54329,88631,104106,269894
1039,8445,10835,45865,83301,282228,200974
1040,7152,37800,73055,134409,154137,246866
1041,3422,18499,37447,162806,154694,262121
1042,8189,23334,56688,97292,239549,174441
1043,3816,25618,31822,69926,200413,190884
1044,5475,36632,44720,122929,183425,165823
1045,5834,12181,62913,43796,196271,307826
1046,7388,23847,140228,129461,240869,262458
1047,12088,13476,82526,103467,104517,415332
1048,3735,24943,75376,83572,161541,241095
1049,10629,32380,82352,113432,113781,432185
1050,2886,12745,45899,112045,188275,193044
1051,8115,10774,32063,117051,133735,270102
1052,4900,35012,142167,258322,192571,187724
1053,6099,19626,51286,119983,459672,157745
1054,8294,28572,46314,132047,207394,198186
1055,4009,22979,77542,129744,100943,261633
1056,4694,24295,72873,79340,101577,668832
1057,3140,20083,65223,61116,215758,148139
1058,4260,35562,31442,91308,269926,194669
1059,15475,22163,80968,117867,150143,170403
1060,5384,25405,43961,98392,133065,271072
1061,9787,35044,94309,149684,298506,135021
1062,5374,15619,92253,94833,84154,241171
1063,5267,16404,61993,59030,211294,414476
1064,4994,19536,87571,85114,181183,314061
1065,5502,16952,75023,197093,114241,372265
1066,8692,25703,41844,82001,114677,411207
1067,3934,19095,112887,240565,230216,432697
1068,2680,35221,71936,90227,144979,130911
1069,3972,10813,127795,105746,353565,479608
1070,6497,14817,102579,207829,145940,106109
1071,2999,29339,46606,146073,167667,338586
1072,10487,32261,99808,218440,96443,272619
1073,8434,25098,70560,97103,275531,205151
1074,5158,10534,66045,67902,120110,369238
1075,9824,37621,45016,67703,145530,240669
1076,9556,53417,41454,100676,276758,228387
1077,9810,24234,95145,130385,182331,168970
1078,7126,30390,78535,182212,220002,159646
1079,9812,18847,55069,91691,261954,236928
1080,10991,42795,68189,130361,99784,292267
1081,6102,18373,47038,68257,139059,312305
1082,7460,16485,62699,75171,134856,224243
1083,5013,23059,91938,58498,151682,611338
1084,4223,16388,64850,75311,181540,630690
1085,6601,19646,46866,182331,211826,255541
1086,11815,12129,56144,104418,187766,190255
1087,6691,16490,35742,179650,279287,778969
1088,4886,22367,151932,229051,186777,123482
1089,6465,21994,79205,111116,199339,710402
1090,6299,12734,47787,59535,153406,389615
1091,4830,18684,57406,82750,198789,160374
1092,7652,33181,49189,161971,163834,403204
1093,13243,21340,44905,175389,275226,172962
1094,9712,14509,89963,71858,139452,232245
1095,4932,24644,44301,86876,97877,181927
1096,3232,39610,59074,55790,102505,373456
1097,7473,15508,55761,81076,361260,206778
1098,5225,18569,86672,84758,310529,205713
1099,6110,8439,47404,59759,165308,671474
1100,5169,12503,80433,68664,242487,347017
1101,11005,9894,46399,77274,267144,180665
1102,10578,22494,63824,130768,312881,371281
1103,8434,14796,54670,113029,157580,202416
1104,5518,25451,33337,85682,262602,182607
1105,5092,20034,41788,103001,335423,164570
1106,4837,38439,41594,99440,282105,226625
1107,6154,15390,44173,293175,267591,208972
1108,2993,37890,57415,135708,223510,150824
1109,13949,20461,113259,175201,127400,248694
1110,3202,16957,89640,181829,287875,192647
1111,6262,10806,47810,195300,151912,215229
1112,4359,12136,86848,118407,271933,364274
1113,6777,23749,103634,145910,268913,200179
1114,11549,37002,78576,61827,169232,268074
1115,6143,18598,36449,133117,79962,529346
1116,4364,16640,66745,140288,83014,214279
1117,3415,15753,77106,76140,208229,261133
1118,3634,18301,50870,143003,139341,232775
1119,5651,14443,22417,92659,250081,214109
1120,7426,10598,30122,177855,90419,242162
1121,9308,30298,62324,60420,247163,164904
1122,4887,22157,45428,55440,208769,169988
1123,7929,17388,86093,68560,162845,379563
1124,6139,13929,91705,107428,341014,149363
1125,6314,16612,40323,157365,213929,221584
1126,11968,29276,42044,47975,162525,198748
1127,7923,10400,40571,118495,293884,178949
1128,5024,16428,108280,150779,370714,138845
1129,8949,30585,60655,286686,126205,377224
1130,5100,36268,66989,166767,124012,121212
1131,5128,20291,53552,231250,119234,149983
1132,4326,25337,65235,175984,233934,209649
1133,5477,15678,62931,100466,275996,310993
1134,4559,11867,45158,94773,213834,356050
1135,7379,14807,67411,156280,73623,128606
1136,5224,45533,25360,163365,161469,197796
1137,15097,10030,76269,74304,155943,202693
1138,4662,28610,80366,89172,306668,283234
1139,6477,18229,79535,114136,196548,168420
1140,4000,15458,54298,65634,134635,210822
1141,7536,17164,34293,105312,163978,304115
1142,3157,20321,34992,84337,190548,309381
1143,11029,14762,91687,159918,263647,443323
1144,3352,11857,126605,108786,82176,224398
1145,8268,28874,51388,76535,187888,347402
1146,6681,14443,101995,99202,315450,177305
1147,2986,22388,65087,76126,233133,257831
1148,5990,30497,51711,116321,296065,394218
1149,4224,16468,54353,109147,114803,197543
1150,8690,30071,51706,61110,260165,419419
1151,7967,34985,46383,101449,161477,312237
1152,5967,12704,71680,88684,117776,242188
1153,7506,11969,47927,143942,114538,270896
1154,5193,16237,66349,109585,180846,127026
1155,4777,15986,52591,68358,149344,204433
1156,5383,9861,32476,212420,200592,190564
1157,2900,33237,92459,88424,231923,429875
1158,10422,25760,45270,110154,196715,180182
1159,6417,12965,90902,100025,265709,164269
1160,10584,9796,51314,157613,247090,405215
1161,8383,13499,45798,149136,91237,186118
1162,7571,21117,46426,129827,114788,318623
1163,7821,24303,71173,113395,166035,192800
1164,3161,11119,45904,75817,147127,260661
1165,6517,19406,27492,160310,273326,317397
1166,4855,55370,32297,67993,131433,252155
1167,4750,27289,35716,107151,441952,710860
1168,6529,16099,31240,109963,175584,217379
1169,7086,15240,79262,106198,362603,134527
1170,11271,16076,38005,110047,333492,419596
1171,5109,14063,64463,107504,307228,204252
1172,3788,13334,87373,114085,167730,508351
1173,3428,40718,78287,85130,94163,206436
1174,3338,19809,66170,88578,223758,347123
1175,15090,29000,78327,96134,86307,633599
1176,4937,22521,102883,63338,91895,580218
1177,3095,34725,90022,85183,123697,189379
1178,6170,26112,58215,54087,130640,165215
1179,6730,13888,62672,79392,239792,328220
1180,6930,16356,48720,201513,199444,264357
1181,2385,24749,39420,77550,355016,391603
1182,6048,15979,60752,89920,176373,143446
1183,4987,23497,58837,90225,263839,175542
1184,4538,19438,53483,130118,77781,374674
1185,8450,14626,84566,81801,228289,211481
1186,5805,15337,66791,130584,120588,157000
1187,4994,18606,66311,46031,111347,366586
1188,3545,12637,85300,172988,319112,190970
1189,6942,14627,65448,78215,196426,232949
1190,6516,11512,47901,105629,198352,394539
1191,6102,23372,50677,208428,227604,382389
1192,11149,20503,27081,103560,144354,133253
1193,9265,31811,41025,112011,137992,217058
1194,9906,13131,56087,218237,140268,744088
1195,12761,12247,117943,66923,59518,314853
1196,5367,28917,98800,96787,169598,268842
1197,4211,15557,40403,105200,240592,213465
1198,6207,23554,34602,71961,161564,194662
1199,9732,23090,48971,66282,290082,358865
1200,8581,7567,45820,78895,261528,295603
1201,4237,33312,42111,92913,77146,261419
1202,5649,33764,50290,74932,229822,244435
1203,4086,13358,66665,90987,253502,207972
1204,7642,36445,38543,95441,107671,424580
1205,3550,28878,52990,114125,161944,210941
1206,6697,33914,79770,115380,136951,664780
1207,4495,31821,63608,182057,195366,671629
1208,4262,24293,60044,119613,116250,183846
1209,5319,16902,42445,114281,123403,262119
1210,3590,17531,44362,125571,323136,300470
1211,6888,25759,85738,78081,130497,285411
1212,7016,29609,48815,89061,178083,382220
1213,11671,11626,81856,78974,208481,327768
1214,4533,16827,64305,75520,174534,443447
1215,4620,24145,69985,157438,213450,305628
1216,4366,37509,64719,101163,256566,534718
1217,5608,32601,61911,106231,90863,155009
1218,8839,14895,85801,85822,134251,314793
1219,3641,13862,64202,124664,504562,157059
1220,7585,16676,46478,147028,90522,136017
1221,7072,10729,49319,131528,259305,251376
1222,6003,22045,73340,100716,250046,172835
1223,5094,33438,43901,95954,189185,228940
1224,7780,18636,32244,100528,218514,279562
1225,7838,18510,73048,88157,78131,154468
1226,7858,30975,44600,146518,226966,382306
1227,6281,13760,54523,76489,158871,199967
1228,9113,26432,39535,181154,132082,413062
1229,7269,39789,92921,94691,134402,268036
1230,5184,13656,115804,120809,310355,365996
1231,8207,19636,50750,171417,91907,367617
1232,10860,9802,62412,69052,210467,286138
1233,4774,17914,80810,81108,111345,301516
1234,6040,23194,31605,78921,159391,259651
1235,6754,22235,43311,144831,222484,218270
1236,8121,19159,61217,97554,108407,462833
1237,18218,15017,65435,107401,178023,287448
1238,5551,15453,26938,114005,141127,182937
1239,4466,18868,73570,166837,188297,347048
1240,10657,34255,82116,49989,256107,268890
1241,7860,42744,26641,181847,156882,359806
1242,4066,19084,150156,75608,123849,354474
1243,6493,20452,59310,99121,126787,355327
1244,3977,39442,56449,154273,184269,628240
1245,5916,12421,140694,206381,197500,250664
1246,7115,30831,35596,172403,88525,361532
1247,4090,27769,70472,131300,107941,347326
1248,5181,16220,77988,86274,167765,621180
1249,8064,19908,78625,50219,162584,140249
1250,13710,18680,101563,162166,219585,258531
1251,3944,14149,107957,123146,269296,98003
1252,10012,37960,37326,63759,432808,646285
1253,8024,36590,50026,75530,163582,347281
1254,4825,21437,69092,171668,457109,236794
1255,6748,9341,56231,126762,184467,329364
1256,4810,15364,41581,86996,384608,206499
1257,14062,16060,104704,201753,250905,263630
1258,3934,42029,85705,71002,133042,467283
1259,9085,39605,69144,74812,116585,456154
1260,3841,22438,47349,57447,189905,159860
1261,3675,29114,54014,179812,304793,265243
1262,6235,14576,82091,76460,89846,237856
1263,4141,9542,39518,301042,108939,458810
1264,4470,39687,125916,74016,255931,435296
1265,5869,19936,97930,34865,95864,372232
1266,7558,21923,59878,210511,119548,253939
1267,12682,14834,28871,79798,222392,151862
1268,5781,28807,146571,159944,78038,484332
1269,4815,23627,145306,69025,133167,157765
1270,10371,14583,45765,139182,279306,158015
1271,5512,21501,30290,91950,123049,147379
1272,4159,10058,37346,87123,156966,199824
1273,10265,28151,49031,69513,127504,370356
1274,8048,32512,65519,346232,123354,155793
1275,4759,16224,50753,56866,195005,295539
1276,7206,16654,85850,95127,159212,175238
1277,3141,21255,47690,103539,382912,351345
1278,9200,18483,76053,126382,153424,282320
1279,8763,14051,42862,145466,91740,228136
1280,6907,14859,128064,180848,155628,165588
1281,6400,7556,101478,109751,98694,218571
1282,5713,19568,51160,149616,245370,225478
1283,6137,12995,31181,83168,111791,274283
1284,9481,9871,43141,132700,133344,263057
1285,4711,45998,57786,155830,114257,354003
1286,5840,12477,48599,111178,224705,308362
1287,6077,13222,69215,148260,186584,144184
1288,5646,14616,40368,92892,161396,286322
1289,4608,23140,79898,95515,87586,210232
1290,9559,23421,40304,106537,182964,375758
1291,5705,19595,50049,237329,112706,221197
1292,4892,11265,66841,106595,120189,209228
1293,5858,15095,56126,76723,130963,215301
1294,4323,10954,62790,177074,233641,223009
1295,7577,23591,53489,79035,194414,186820
1296,8605,16240,84482,266128,428375,666712
1297,7334,16302,86854,242458,232897,443983
1298,8051,13863,91150,72642,228190,361443
1299,4109,30065,54805,128762,137320,254430
1300,5861,15862,43734,81596,161033,244273
1301,4823,22100,33543,77438,179455,256022
1302,7833,12224,46036,73191,358777,593126
1303,6878,21480,62206,99644,174626,431056
1304,3762,29035,43081,84291,361506,136941
1305,4827,48986,43254,101171,238719,612767
1306,13465,22580,121037,108919,233382,224091
1307,5322,33199,83005,93321,157534,332469
1308,9233,25771,52599,254572,121908,273779
1309,3186,18939,88831,55802,180013,653113
1310,10322,13925,46023,80856,69724,179759
1311,8675,18068,41275,110137,351794,260107
1312,7658,16165,94515,134687,179945,543794
1313,4758,15000,128593,177624,374463,478285
1314,10175,63532,46118,321840,153709,190970
1315,5897,12076,61827,138476,342162,319530
1316,10759,20237,74359,102256,386287,124003
1317,5186,10124,44590,92699,162143,159838
1318,5873,15312,35324,110469,197410,267778
1319,5108,17715,52415,122256,128688,223680
1320,7612,14817,51357,120010,200664,125857
1321,6397,51795,72853,140179,134968,445831
1322,5299,13522,55520,175685,150153,262946
1323,8005,23519,42045,98404,159841,137678
1324,4770,15590,104265,204403,173085,304625
1325,5928,41278,33095,66296,125205,155092
1326,9315,15168,43266,161236,235905,322408
1327,5313,32490,41500,68440,152665,141411
1328,3965,22057,96052,119433,213519,333111
1329,7342,15737,39059,251948,127085,175246
1330,10088,11070,74564,76372,135609,144510
1331,9034,9606,59667,129138,135856,133216
1332,16658,32005,33315,68394,123383,172814
1333,6397,9326,44578,101830,197232,232954
1334,9980,14085,31943,148565,339805,537821
1335,6553,32421,77883,123094,125696,207325
1336,6822,13809,89218,96096,83451,216959
1337,6899,23253,64492,70430,164673,180118
1338,9079,15700,64366,180163,162369,214800
1339,12389,37524,44201,115520,112771,175353
1340,8584,10286,47618,88476,222052,511261
1341,8488,18024,61664,108815,351535,105847
1342,5312,11546,59060,95023,159785,374576
1343,4425,11790,72863,73607,106912,188131
1344,5859,14367,42726,194634,246262,306622
1345,5955,13178,51333,118647,160929,193567
1346,4954,30866,29512,93388,130305,186954
1347,8342,15501,77217,74104,356108,321954
1348,7885,15955,47875,91554,295919,286864
1349,10305,17945,28989,53904,132965,380876
1350,10349,37924,40189,121963,297576,191024
1351,9188,14619,59632,71338,168597,168862
1352,19441,10743,63068,66668,155412,309611
1353,9413,15029,43577,85249,108001,183491
1354,4483,16860,62752,146436,192529,104079
1355,7396,18080,108152,166312,117136,328703
1356,5105,17440,54294,132135,399552,294149
1357,7387,15427,143006,172647,207074,150879
1358,6540,15596,57236,108424,252332,296056
1359,2896,24066,54160,113762,134747,255161
1360,6373,27546,90255,67559,114903,165393
1361,4207,19075,60829,128985,129334,675854
1362,8269,19983,28454,113560,238190,273197
1363,6196,35370,101643,99436,248991,131830
1364,7793,33272,67884,127291,181866,267518
1365,13603,29078,47909,193098,231582,293017
1366,9530,13361,46676,210319,246820,158158
1367,16083,9004,50373,157793,415624,280890
1368,6706,17456,40677,82859,265710,308864
1369,11218,14666,86434,98422,103262,605862
