Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500
158,8001,10677,62978,85087,139795,207256
159,7711,12817,74771,57084,418819,433979
160,5532,24684,58660,58162,156986,134802
161,3937,13435,80712,230740,378946,246522
162,3659,22097,42545,58398,234181,371642
163,3990,11348,31249,189402,164284,781948
164,13238,16357,85758,46766,91880,272741
165,7460,29659,55555,144903,223601,107429
166,6163,24136,67580,208434,413639,485175
167,14259,14175,130644,57274,115874,304175
168,3032,23826,57829,223548,97410,456166
169,7834,14887,49098,107423,201212,133197
170,4805,15732,44468,85978,155821,492388
171,3783,9667,42105,105504,243597,223070
172,4421,19858,95744,182067,105909,178644
173,4384,25200,58820,104260,353989,203193
174,9480,13943,61056,250730,376941,243597
175,4218,15701,60183,245551,150988,233769
176,4614,19459,37078,159699,134160,152282
177,4508,19804,28328,67831,252716,264054
178,5425,24422,42439,89217,236731,250858
179,17851,25021,59229,125081,292943,224139
180,8338,12862,136258,110465,153538,173240
181,4216,16736,80221,137396,158949,342619
182,5680,13420,74640,182441,181345,313202
183,6738,34266,130218,78853,205145,445621
184,16370,16822,37813,131736,136974,465284
185,9433,8948,58317,43317,130102,264325
186,4384,12216,53459,132987,231615,157459
187,4469,12646,45615,112868,187906,535116
188,9885,35103,59215,122205,115408,157839
189,4616,13648,49452,87587,376210,319242
190,5224,30805,65158,111691,140158,194436
191,12659,26680,39469,101849,164585,338863
192,7934,16675,87656,174006,264564,453163
193,8164,16301,97631,53346,116079,408707
194,12044,20461,32407,101509,352391,209038
195,11078,16074,73400,72102,245610,594969
196,3550,10359,42309,258937,404313,499227
197,5041,14367,66758,59685,261918,168188
198,9538,12934,51999,101292,269132,221912
199,7112,20745,55416,154239,142298,180864
200,9531,76438,91033,153781,245206,200989
201,7770,17869,70849,114892,191801,248751
202,3503,17664,52789,61594,197263,233999
203,3544,14819,126241,85434,132804,173016
204,6180,13331,55053,107232,171596,197031
205,4271,18938,31004,64896,232696,202879
206,17632,21576,42141,64723,425846,331285
207,4385,30507,129175,86842,168100,353712
208,8145,18929,48148,193367,206078,540564
209,8045,55403,87395,151029,202076,291404
210,5306,24164,65003,100848,128975,567060
211,6277,69550,32924,137702,281840,593762
212,7578,11167,95483,182861,242385,262007
213,6940,24744,116975,93561,198744,128052
214,5265,26623,38313,98381,123446,234140
215,11818,57418,89949,93465,344859,273618
216,5865,26818,84812,74095,142243,234776
217,7101,14336,58588,123661,299723,131440
218,3565,16657,35233,71857,244699,270678
219,10197,13959,72116,251289,132256,202787
220,6008,25317,38822,76010,134762,202215
221,4875,10829,51808,74096,139396,458588
222,6125,32932,37422,93556,203922,230932
223,4469,9995,66400,75481,170317,194219
224,6781,18900,78570,71424,196013,424653
225,6665,9924,60516,107383,192282,256851
226,4504,10599,62871,86597,104431,377016
227,6446,24563,67486,447579,110840,238599
228,10823,16025,47004,96041,419842,201722
229,6505,13954,74342,164590,198586,311685
230,3133,24210,136534,96716,294390,247143
231,4615,22051,103560,83667,219909,174473
232,4929,12616,129718,158979,198798,353965
233,6564,24926,78682,143268,212696,148508
234,3418,28235,47117,85070,155816,216184
235,4376,18997,34588,103889,119245,684591
236,8005,16885,95643,103498,144635,472673
237,12458,18840,52125,150262,103644,236567
238,9020,13989,37781,113536,120000,552869
239,9811,12400,67752,153952,239582,142902
240,7206,19721,36496,242767,286358,200854
241,7326,18851,50042,96214,278270,241256
242,5203,15073,90008,56998,182290,210317
243,7700,28104,44483,87725,146340,248654
244,11179,18791,31807,182284,176167,121599
245,3939,9293,49971,91173,207690,378277
246,4350,13393,69617,199117,229431,253872
247,3157,9535,94911,198749,182324,170806
248,9008,11371,47434,138874,208009,218772
249,10228,13365,118744,167146,159681,302595
250,6237,36759,60877,103681,80774,323905
251,8854,37350,83341,63516,96519,247678
252,9692,21418,62416,88295,205964,253214
253,3348,14095,57567,138645,139908,185980
254,9841,21522,73981,94386,185499,563915
255,4028,16999,49325,187050,312235,181607
256,7849,25154,149205,71318,198256,356108
257,4277,14711,62520,71863,142649,426703
258,8328,10464,49667,58163,204635,150184
259,8046,27395,40807,216166,266799,283610
260,6296,22127,72382,128275,293001,238371
261,6868,24628,70660,196584,260660,158285
262,4174,34326,79089,84044,101666,367571
263,4802,20672,46274,126159,216496,417012
264,7062,28671,51715,129033,87004,308396
