Trial,R=250,R=500,R=1000,R=2000
227,10514,16907,38700,117555
228,6813,11562,46634,199164
229,6507,7463,60102,132451
230,9529,17206,47883,165963
231,3299,18422,83906,226900
232,6309,34592,42605,90331
233,7814,27364,73265,234885
234,4839,11468,67629,251915
235,9057,12747,45293,143801
236,5945,22910,165487,164685
237,9141,22249,100695,152716
238,4017,11013,48904,176262
239,5425,24881,60441,299507
240,7457,10469,113600,221149
241,7195,23608,51058,175548
242,5001,18990,50500,196432
243,3117,18857,57122,152356
244,6863,10354,42877,164994
245,10711,10389,165781,350355
246,4538,22824,71550,248848
247,8300,30194,36249,124242
248,4465,10059,77771,236008
249,8490,14839,91839,224491
250,5057,24502,75232,145782
251,4518,15333,66995,147971
252,4237,25307,53167,106041
253,5047,26385,86372,315145
254,6032,12789,66677,158030
255,3151,8983,26460,179278
256,4137,8837,53424,167354
257,7339,16588,78155,399307
258,4619,10971,34225,125962
259,4997,14112,66362,182865
260,8039,21519,59531,125162
261,9088,9508,51533,118677
262,18643,24388,46081,180607
263,7184,31831,75431,350076
264,3006,18025,30744,260317
265,9438,20496,29849,268113
266,4989,26873,88970,143050
267,10050,21348,50008,204818
268,6011,41690,46139,274280
269,3920,18860,34759,194654
270,6770,40140,45454,413325
271,4764,15654,39519,189614
272,5231,25049,47823,149754
273,5170,21610,35027,121207
274,8824,18061,30706,110759
275,3054,17418,52387,315226
276,4691,15005,84570,156668
277,5341,12378,29726,424843
278,5279,22902,39944,178574
279,3992,18083,42598,151330
280,9604,18904,144165,142345
281,4643,16421,65347,191385
282,3941,32546,73694,155603
283,9213,19329,60853,133845
284,2246,25477,39431,106110
285,6119,14139,104114,320004
286,3497,18701,37412,330265
287,2999,21902,59982,105783
288,6158,19859,94858,80282
289,6321,13089,38095,76894
290,4617,19623,49373,91785
291,8938,20573,54650,183594
292,12151,13490,84986,451591
293,4583,28658,70328,150212
294,7646,16647,70759,78450
295,7046,21203,43186,194566
296,7304,21642,33085,149755
297,10762,25438,40009,207409
298,6642,42874,69728,179610
299,7251,14340,97968,165671
300,4553,12819,60820,232821
301,3477,21195,50035,380542
302,4776,11875,99524,254238
303,5303,12938,53572,268968
304,5407,15337,69595,97968
305,7501,11747,48451,110254
306,6369,29904,49782,306256
307,8623,22415,53527,106154
308,5264,15214,31932,150307
309,7438,11267,117632,101437
310,3192,13563,48655,230217
311,9491,23438,64967,219860
312,2470,26706,62086,421981
313,15299,21344,35300,137809
314,10438,5548,79016,182406
315,6815,36051,49018,137516
316,10413,18951,38424,85951
317,3963,32203,32235,199755
318,5760,9403,37125,280529
319,6222,33366,40783,75776
320,9007,15905,83160,214871
321,7203,13212,70791,145619
322,6616,14634,142632,178839
323,4302,22049,61925,255352
324,6611,12659,59481,442462
325,6361,18550,56149,281777
326,5389,14340,89202,149117
327,9509,17952,49266,116082
328,4160,17938,41888,95996
329,6967,23860,48721,77801
330,8080,12176,59544,167773
331,5035,10072,101370,132998
332,8710,22399,114265,192600
333,3324,27587,98597,290877
334,5044,16690,41272,98916
335,2338,21568,69021,326302
336,4695,24742,51033,161637
337,3691,17114,31524,81043
338,7248,29146,41751,112612
339,8565,19970,55332,508859
340,4204,19709,56838,100230
341,3952,17144,40961,198771
342,6435,14370,46652,133180
